Zespół zgłaszający potrzebę,Projekt,Cel biznesowy,KPI,Opis,Korzyść dla Banku/Obszaru/Zespołu,TAI - refined_zadania,TAI - tagi,TAI - uwagi,TAI - uzasadnienie, tok myślenia
ZRKiWS,Automatyczne kodowanie rozmów w celu faktycznego określenia tematu rozmowy,Oszczędność czasu,AHT,"Na podstawie tego, o czym była rozmowa narzędzie określa kod rozmowy","Uwolnienie czasu doradcy, eliminacja błędów w kodowaniu (poprawne kodowanie rozmowy)","Określić temat każdej rozmowy poprzez wieloklasową klasyfikację transkrypcji, aby automatycznie przypisać kod rozmowy zgodny ze słownikiem tematów","kategoryzacja-tematu; classification-multi-label; vector-db-tematy; service; dashboard","2 etapy (embedding + klasyfikator)","Embedding transkrypcji -> baza wektorowa; multi-label klasyfikator/LLM dopasowuje kategorię; tagi opisują komponenty i cel."
ZRKiWS,Ocena jakości propozycji sprzedażowych doradców,Wzrost sprzedaży,SC,"Czy doradca powiedział o ofercie kredytu wyłącznie kierując klienta do zakładki Oferta czy jednak zaproponował dany produkt mowiąc o nim szerzej","chcemy na bieżąco weryfikować jakość propozycji doradców","Ocenić jakość ofertowania: wykryć czy doradca przedstawia produkt w sposób przekonujący czy tylko wskazuje zakładkę w systemie","ofertowanie-jakość; frazy-binary; frazy-ekstrakcja; llm-ocena; sprzedaż","3 etapy (binary identyfikacja, ekstrakcja fraz, llm-ocena)","Klasyfikacja wystąpienia ofertowania -> ekstrakcja fraz -> LLM ocena głębokości; tagi odpowiadają metodom."
ZRKiWS,Weryfikacja wykorzystywania szans sprzedażowych w rozmowach,Wzrost sprzedaży,Ofertowanie,"Wykrywanie fraz aktywnego słuchania – parafraz, potwierdzeń","Działanie w celu podniesienia sprzedaży","Sprawdzić czy doradca wykorzystuje sygnały klienta do propozycji produktu","aktywne-słuchanie; frazy-binary; frazy-ekstrakcja; frazy-clustering; cross-sell","3 etapy (frazy klienta, mapowanie potrzeb→produkt, analiza doradcy)","Ekstrakcja fraz klienta -> embedding dopasowanie potrzeb -> sprawdzenie reakcji doradcy; tagi odzwierciedlają pipeline."
ZRKiWS,Mierzalność szkolenia sprzedażowego Kredyt gotówkowy,Wzrost sprzedaży,Realizacja celu na KG,"Czy doradca proponuje większą kwotę niż klient wskazał","zwiększenie realizacji planów sprzedażowych","Zweryfikować czy po szkoleniu doradca proponuje wyższą kwotę kredytu","kredyt-got; frazy-binary; szkolenie-kontrola; kwota-max; sprzedaż","2 etapy (binary check + agregacja metryk)","Detekcja fraz sugerujących wyższą kwotę -> porównanie przed/po szkoleniu; tagi pokazują produkt i metody."
ZRKiWS,Dashboard doradcy,Wzrost sprzedaży,SC/E2E,"Weryfikacja % tematów, szans i finalizacji w rozmowach doradcy","Dokładna analiza potencjału rozmów","Zbudować raport mierzący % tematów, szans, finalizacji","dashboard; analityka; kategoryzacja-tematu; konwersja; BI","aggregacja wyników z wielu komponentów","Wyniki z klasyfikacji tematów i ofertowania agregowane i wizualizowane w BI; tagi definiują funkcjonalności."
ZRKiWS,S2S - dopasowanie sprzedaży do potrzeb klienta,Wzrost sprzedaży,Ofertowanie,"Wykrywanie fraz klienta nt. potrzeb (np. auto) i propozycji adekwatnego produktu","Podniesienie sprzedaży poprzez personalizację","Sprawdzić czy doradca proponuje produkt adekwatny do ujawnionych potrzeb","need-detection; cross-sell; frazy-binary; retrieval-produktów; llm-ocena","3 etapy (potrzeba, propozycja, ocena dopasowania)","Ekstrakcja informacji o potrzebach -> katalog produktów -> ocena czy propozycja jest trafna; tagi pokazują pipeline i cel."
ZRKiWS,Sentyment rozmowy,NPS,NPS,"Analiza zmian sentymentu w trakcie rozmowy","Wzrost NPS i retencji","Monitorować dynamikę sentymentu klienta i doradcy","frazy-klient-sentyment; emotion-heatmap; diarization; nps","1 etap (analiza sentymentu w oknie przesuwającym)","Segmentacja wypowiedzi, ocena tonu, wizualizacja heatmapy emocji; tagi metodologiczne."
ZRKiWS,Propozycja finalizacji zdalnej,Wzrost sprzedaży,SC/E2E,"Wykrywanie fraz dot. wspólnej zdalnej finalizacji","Digitalizacja selfservice","Wykryć czy doradca zaproponował finalizację zdalną","finalizacja-zdalna; asysta-digital; frazy-binary; self-service","1 etap (binary)","Detekcja fraz wskazujących propozycję wspólnego zakończenia procesu online; tagi mówią o metodzie i typie zadania."
ZRKiWS,Oferty specjalne/Promocje,Wzrost sprzedaży,SC/E2E,"Weryfikacja propozycji specjalnych ofert/promocji","Lepsze wykorzystanie ofert specjalnych","Sprawdzić czy doradca informuje o aktualnych promocjach","promocje; frazy-binary; frazy-ekstrakcja; kampania; sprzedaż","2 etapy (binary + katalog promocji)","Detekcja fraz ofert promocyjnych -> dopasowanie do listy promocji; tagi odzwierciedlają komponenty."
ZRKiWS,Weryfikacja najskuteczniejszych propozycji per produkt,Wzrost sprzedaży,SC,"Identyfikacja nazwy produktu i użytych propozycji, korelacja z finalną sprzedażą","Poprawa skryptów i materiałów","Połączyć frazy z danymi sprzedaży by określić skuteczne propozycje","frazy-ekstrakcja; frazy-clustering; skuteczność-propozycji; analiza-sprzedażowa; llm-podsumowanie","3 etapy (ekstrakcja, clustering, korelacja z KPI)","Zbieranie fraz -> grupowanie -> analiza konwersji; tagi definiują metodę i cel"